用語,定義・説明
熱力学的フェーン,山越え時に凝結・降水を伴い、麓で昇温する現象。
力学的フェーン,上層の温位の高い空気を巻き込んで吹き下ろすフェーン。
エマグラム,横軸に気温、縦軸に気圧をとり、気温・露点の関係を示す断熱図。
混合比,空気1kg中の水蒸気量（g/kg）。
LCL（持ち上げ凝結高度）,理論上の雲底高度。乾燥断熱減率線と等飽和混合比線の交点。
CIN（対流抑制）,上昇空気塊の温度が周辺より低いエリア。対流を抑制する力。
LFC（自由対流高度）,空気塊の浮力が正になる最低高度。通常の雲頂。
LNB（中立高度）,空気塊が浮力を得られなくなる高度。積乱雲の雲頂。
CAPE（対流有効位置エネルギー）,LFCからLNBまでの上昇エネルギー量。値が大きいほど不安定。
SSI（ショワルター安定指数）,500hPa気温と850hPa空気を500hPaに持ち上げた時の温度差。小さいほど不安定。
KI（ケーインデックス）,雷雨発生確率を示す指数。40以上でほぼ100%。
LI（持ち上げ指数）,500hPa気温と地上〜500m平均空気の温度差。0以下で不安定。
逆転層,高度上昇とともに気温が上昇する気層。前線性・沈降性・接地の3種類。
前線性逆転層,冷たい空気の上に暖かい空気が移流する境目の逆転層。
沈降性逆転層,高気圧付近で沈降した大気が圧縮され気温上昇する逆転層。上側が乾燥。
接地逆転層,夜間の放射冷却で地表接触の空気が冷やされてできる逆転層。晴れた日の朝に形成。
順転,高度上昇で風向が時計回りに変化。暖気移流を示す。
逆転,高度上昇で風向が反時計回りに変化。寒気移流を示す。
寒冷高気圧,地上付近の寒冷な空気で構成される背の低い高気圧。放射冷却等で生成。
温暖高気圧,温暖な空気で構成される背の高い高気圧。対流圏界面からの下降で生成。
亜熱帯高気圧（サブハイ）,中緯度高圧帯で発生する温暖高気圧。太平洋高気圧もこれに該当。
ブロッキング高気圧,偏西風の蛇行で切り離され停滞した高気圧。異常気象の原因。予報困難。
移動性高気圧,偏西風に乗って移動する高気圧。
温帯低気圧,中緯度で寒気と暖気のバランスが崩れ発生する前線を伴う低気圧。熱の南北輸送を担う。
バルジ,暖気移流が強い時に低気圧北側に生じる雲群。上空強風軸に流され凸状になる。
ドライスロット,低気圧中心に向かう溝状の雲の少ない領域。最盛期に観測。
熱帯低気圧,熱帯地方の高温多湿な気団内で発生する前線を伴わない低気圧。北緯5度以上で発生。
台風,北半球東経100〜180度で最大風速17.2m/s以上の熱帯低気圧。
ハリケーン,北半球西経180度〜大西洋で最大風速32.7m/s以上の熱帯低気圧。
サイクロン,インド洋と南半球太平洋で最大風速17.2m/s以上の熱帯低気圧。
CISK（第2種条件付不安定）,台風発達の相乗作用。潜熱放出→海面加熱→低圧化→さらなる上昇気流。
台風の目（眼）,台風中心の雲なし風弱い穏やかな領域。勢力が強いほど直径が小さい。
壁雲（アイウォール）,台風の眼の周りの非常に発達した積乱雲群。
スパイラルバンド,壁雲外側の螺旋状の積乱雲・積雲の列。
アウターバンド,スパイラルバンド外側200〜600kmの螺旋状の雲列。
強風域,平均風速15m/s以上が吹いている（または吹く可能性がある）領域。
暴風域,平均風速25m/s以上が吹いている（または吹く可能性がある）領域。
可航半円,台風針路の左側。台風の風と移動気流が逆で相対的に風が弱い。
危険半円,台風針路の右側。台風の風と移動気流が合成され相対的に風が強い。
寒冷低気圧（寒冷渦）,周囲より温度の低い寒気からなる低気圧。上空に寒気で大気不安定、雷雨発生しやすい。
前線,異なる性質の気団の境界面が地表と交わる線。
温暖前線,暖気が寒気の上に乗り上げる前線。通過前に連続性降水、通過後に気温上昇。
寒冷前線,寒気が暖気の下に潜り込む前線。通過時に驟雨性降水、通過後に気温低下。
閉塞前線,寒冷前線が温暖前線に追いついた前線。低気圧の最盛期に形成。
停滞前線,暖気と寒気の勢力が拮抗し停滞した前線。梅雨前線・秋雨前線。
ASAS,アジア地上解析図（実況図）。Asia Surface Analysis。現在の気象状況を示す天気図。
FSAS,アジア地上予報図。Forecast Surface Analysis。24時間後・48時間後の予報天気図。
等圧線,同じ気圧の地点を結んだ線。1000hPaを基準に細線4hPa毎、太線20hPa毎。破線は2hPa毎。
H（高気圧）,周囲より気圧の高い場所。×印が中心。時計回りの風が吹き出す。
L（低気圧）,周囲より気圧の低い場所。×印が中心。反時計回りの風が吹き込む。
TD（熱帯低気圧）,Tropical Depression。最大風速34kt未満の熱帯低気圧。
TS（台風）,Tropical Storm。最大風速34kt以上48kt未満の台風。
STS（台風）,Severe Tropical Storm。最大風速48kt以上64kt未満の台風。
T（台風）,Typhoon。最大風速64kt以上の台風。
SLW,Slow。進行速度が5kt以下で進行方向が定まっている。
STRN,Stationary。進行方向が定まらず停滞している。
ALMOSTSTRN,進行速度が5kt以下で進行方向が定まらない。
予報円,台風や低気圧の12時間後・24時間後の予想位置を示す円。70%の確率で中心が入る。
KT（ノット）,速度と風速の単位。1kt=1.852km/h。
NM（海里）,Nautical Mile。距離の単位。1NM=1.852km=1852m。
FOG[W],Fog Warning。海上濃霧警報。視程0.3海里（約500m）以下。
[W],Warning。海上風警報。熱帯低気圧による風が最大風速28kt以上34kt未満。
[GW],Gale Warning。海上強風警報。最大風速34kt以上48kt未満。
[SW],Storm Warning。海上暴風警報。最大風速48kt以上。
[TW],Typhoon Warning。海上台風警報。台風による風が最大風速64kt以上。
雲量（10分法）,全天を10として雲の占める割合。気象庁方式。
雲量（8分法）,全天を8として雲の占める割合。航空方式（METAR/TAF）。
強風域記号,30kt以上の風が予想される領域を示す矢印記号。
AREA OF ICING,船体着氷域。船舶への着氷が予想される海域。
AREA OF SEA ICE,海氷域。海面が凍結している海域。
AREA OF FOG,霧域。霧が予想される海域。
FEFE（週間予報図）,72時間以降（3日目〜）の週間予報天気図。降水域（5mm/24h以上）を点描で表示。
ポーラーステレオ図法,天気図の投影法。正角図法の1つで、緯度により地図上の長さと実際の距離の比が変わる。
等圧面天気図,ある気圧面（850hPa等）における気象要素を示した天気図。高層大気の解析に使用。
等高度線,等圧面の高度が同じ地点を結んだ線。太線300m毎、細線60m毎（高度面により基準が異なる）。
等温線,同じ気温の地点を破線で結んだ線。暖候期3℃毎、冬季6℃毎（高度面により異なる）。
湿域,気温−露点温度（湿数）が3℃未満のエリア。点描で表示。雲が発生しやすい。
C（寒気）,Cold。周囲より気温が低いエリア。寒冷渦の存在を示すことがある。
W（暖気）,Warm。周囲より気温が高いエリア。
高標高領域,等圧面の高度が高い領域。縦横破線で3000m以上、縦破線で1500m以上を示す（850hPa面）。
風向風速（矢羽根）,黒旗50kt、長棒10kt、短棒5kt。矢羽根の向きが風が吹いてくる方向。
850hPa面,高度約1500m。下層大気の解析用。等高度線基準1500m、等温線は暖候期3℃毎/冬季6℃毎。湿域あり。
700hPa面,高度約3000m。中層大気の解析用。等高度線基準3000m、等温線は季節に関わらず6℃毎。湿域あり。
500hPa面,高度約5700m。中層〜上層大気の解析用。等高度線基準5700m、等温線は暖候期3℃毎/冬季6℃毎。気圧の谷の解析に重要。
300hPa面,高度約9600m。上層大気（ジェット気流）の解析用。等高度線120m毎。等風速線（ISOTACH）あり。
200hPa面,対流圏界面付近。ジェット気流強風軸を矢印で表示。
等風速線（ISOTACH）,同じ風速の地点を結んだ線。300hPa・200hPa面で使用。ジェット気流の位置把握に重要。
ジェット気流強風軸,200hPa面で矢印（→→→）で表示。ジェット気流の中心位置を示す。
AUPQ78,850hPa・700hPa面の実況天気図。風向風速、気温、湿数、等高度線、等温線を表示。
AUPQ35,500hPa・300hPa面の実況天気図。
AUPA20,200hPa面の実況天気図。ジェット気流強風軸、等風速線を表示。
AXFE578,極東地域の高層解析図。上段：500hPa渦度、下段：700hPa鉛直p速度・850hPa気温・風。
渦度（VORT）,大気の回転の強さ。正の値は低気圧性回転（反時計回り）、負の値は高気圧性回転（時計回り）。
鉛直p速度,気圧の時間変化率。負の値は上昇流、正の値は下降流を示す。縦線で負（上昇流）域をハイライト。
FXJP854,850hPa面の予報図。等相当温位線と風向風速を表示。前線解析に使用。
FXFE502/504/507,500hPa・地上の予報図。12/24/48時間後の予報。
FXFE5782/5784,500hPa気温・700hPa湿数/850hPa気温・風の予報図。12/24時間後。
エマグラム,横軸に気温、縦軸に気圧をとり、大気の鉛直構造を解析する断熱図。
Skew-T図,エマグラムの一種。温度軸が右上がりに傾斜。米国式。University of Wyomingで公開。
気温線（実測）,ラジオゾンデで観測した気温の鉛直分布。黒または赤の実線。
露点温度線（実測）,ラジオゾンデで観測した露点温度の鉛直分布。黒または青の実線。
乾燥断熱減率線,未飽和空気の断熱変化を示す線。緑色または黄色の実線。約10℃/1000m。
湿潤断熱減率線,飽和空気の断熱変化を示す線。青色または緑色の実線。約5℃/1000m（変動あり）。
等飽和混合比線,飽和混合比が等しい点を結んだ線。紫色または緑色の破線。
等相当温位線,相当温位が等しい点を結んだ線。前線解析（FXJP854）で使用。太線15℃毎、細線3℃毎。
相当温位,空気塊の水蒸気をすべて凝結させた時の温位。前線の位置特定に有効。
ひまわり,"日本の気象衛星。静止軌道（赤道上空約35,800km、東経140.7度）に位置し、10分毎に地球全体を観測。"
静止軌道,"赤道上空約35,800kmで地球の自転と同じ周期で周回する軌道。特定地域の常時観測が可能。"
極軌道,南北の極付近を通り、上空約850kmを1周100分で周回する軌道。解像度が高いが同一地点は1日2回のみ。
可視画像,太陽光の反射強度を画像化したもの（波長0.36〜0.83μm）。厚い雲や雪面は明るく、海面は暗く見える。昼間のみ利用可能。
赤外画像,放射エネルギーを輝度温度に変換した画像。温度が低い（雲頂が高い）ほど白く表示。昼夜問わず利用可能。
水蒸気画像,バンド8〜10（6.2〜7.3μm）で対流圏上〜中層の水蒸気量を観測した画像。明暗が水蒸気量に対応。
近赤外画像,可視画像と同様に反射強度を画像化。日中のみ利用可能。植生識別や雲粒子の相・粒径判別に使用。
大気の窓,"水蒸気による吸収が少ない波長領域（バンド7,11,13,14,15）。雲の観測に使用。"
雲頂温度,赤外画像から得られる雲の最上部の温度。気温の鉛直構造がわかれば雲頂高度に変換可能。
ホットスポット,"近赤外・赤外画像で火災などの高温熱源がドット状に現れる領域。バンド5,6,7で明瞭。"
フルディスク観測,ひまわりによる地球全体の観測。10分毎に実施。
領域観測,特定地域（日本域など）を2.5分〜0.5分毎に高頻度で観測する方式。
バンド,衛星観測で使用する波長帯。ひまわりはバンド1〜16の16種類。
バンド8（6.2μm）,水蒸気画像用。対流圏上層（300hPa付近）の水蒸気を観測。
バンド9（6.9μm）,水蒸気画像用。対流圏中層（400〜500hPa付近）の水蒸気を観測。
バンド10（7.3μm）,水蒸気画像用。対流圏下層（500〜600hPa付近）の水蒸気を観測。
トラフ,気圧の谷。水蒸気画像の明・暗域の分布から上〜中層のトラフ位置を把握可能。
リッジ,気圧の尾根。水蒸気画像で明域として現れることがある。
METAR,定時飛行場実況気象通報式。毎正時の飛行場気象観測値を通報する国際標準形式。
SPECI,特別飛行場実況気象通報式。気象状態が急変した時に発信される臨時の通報。
目視観測,観測装置の値に目視による観測結果を加える観測方法。有人観測所で実施。
自動観測,目視による観測結果を加えない観測方法。AUTO表示。終日導入空港と一部時間帯導入空港がある。
ICAO地点略号,4文字の空港識別コード。日本はRJxx（本土）、ROxx（沖縄）で始まる。
観測日時群,DDHHMMZの形式。DD=日、HHMM=時分（UTC）、Z=協定世界時。
風向風速群,dddffGfmfmKT形式。ddd=風向（真方位10度単位）、ff=風速、G=ガスト、KT=ノット。
VRB,Variable。風向が定まらない（風速3kt以下）時に使用。
卓越視程,飛行場周辺で最も一般的な視程値。m単位（5000m以下）またはkm単位（5km超）で通報。
RVR（滑走路視距離）,滑走路上の視程。Rnn/xxxxの形式で通報。航空機の離着陸判断に重要。
CAVOK,Ceiling And Visibility OK。視程10km以上、雲底5000ft以上かつ最低扇形別高度以上、重要天気なし。
SKC,Sky Clear。雲なし（有人観測）。
CLR,"Clear。雲なし（自動観測、12,000ft以下に雲検出なし）。"
NCD,No Cloud Detected。自動観測で雲が検出されない。
NSC,No Significant Cloud。運航上重要な雲なし。
FEW,雲量1〜2/8。少量の雲。
SCT,Scattered。雲量3〜4/8。散在。
BKN,Broken。雲量5〜7/8。雲が多い。シーリングとなる。
OVC,Overcast。雲量8/8。全天を覆う。シーリングとなる。
VV,Vertical Visibility。鉛直視程。霧等で雲底が観測できない時に使用。
CB,Cumulonimbus。積乱雲。TCU/CBは雲量に関係なく常に通報。
TCU,Towering Cumulus。塔状積雲。雲量に関係なく常に通報。
シーリング（雲底高度）,BKN/OVC/VVで通報された最も低い雲層の高度。航空機の着陸可否判断に重要。
DZ,Drizzle。霧雨。
RA,Rain。雨。
SN,Snow。雪。
SG,Snow Grains。霧雪。
PL,Ice Pellets。凍雨。
GR,Hail。ひょう（直径5mm以上）。
GS,Small Hail / Snow Pellets。氷あられ・雪あられ。
BR,Mist。もや（視程1000m以上5000m以下）。
FG,Fog。霧（視程1000m未満）。
FU,Smoke。煙（視程5000m以下）。
VA,Volcanic Ash。火山灰。
DU,Widespread Dust。じん（視程5000m以下）。
SA,Sand。砂（視程5000m以下）。
HZ,Haze。煙霧（視程5000m以下）。
PO,Dust/Sand Whirls。塵旋風。
SQ,Squall。スコール。
FC,Funnel Cloud。ろうと雲（竜巻含む）。
SS,Sandstorm。砂塵嵐。
DS,Duststorm。砂塵嵐。
TS,Thunderstorm。雷電。降水を伴う場合はTSRA等。
SH,Shower。しゅう雨性。驟雨性の降水に付与（SHRA、SHSNなど）。
FZ,Freezing。着氷性。FZRA（着氷性の雨）、FZFG（着氷性の霧）など。
MI,Shallow。地（霧）。地表近くの霧。
BC,Patches。散在（霧）。霧が散在している状態。
PR,Partial。部分（霧）。飛行場の一部を覆う霧。
DR,Low Drifting。低い。地上2m未満の現象。
BL,Blowing。高い。地上2m以上の現象。
VC,Vicinity。飛行場標点から約8〜16kmの間の区域の現象。
＋（強）,現象の強度が強い。+RA（強い雨）など。
−（弱）,現象の強度が弱い。-RA（弱い雨）など。
（表示なし）＝並,現象の強度が並。RA（並の雨）。
RMK,Remarks。国内記事の開始を示す。
A01,自動観測装置で雨と雪の判別ができない。
A02,自動観測装置で雨と雪の判別ができる。
NOSIG,No Significant Change。2時間以内に重要な変化なしの予想。
PK WND,Peak Wind。観測時間内の最大瞬間風速と発生時刻。
WSHFT,Wind Shift。風向の急変とその発生時刻。
TWR VIS,Tower Visibility。管制塔からの視程（卓越視程と異なる場合）。
SFC VIS,Surface Visibility。地上視程（卓越視程と異なる場合）。
SLP,Sea Level Pressure。海面気圧（下3桁、0.1hPa単位）。SLP015=1001.5hPa。
PRESRR,Pressure Rising Rapidly。気圧急上昇。
PRESFR,Pressure Falling Rapidly。気圧急降下。
VIRGA,尾流雲。降水が地面に達していない。
TCU OHD,Towering Cumulus Overhead。真上に塔状積雲。
CB W MOV E,積乱雲が西にあり東へ移動中。
LTGCA,Lightning Cloud to Air。雲対空の雷。
LTGCC,Lightning Cloud to Cloud。雲対雲の雷。
LTGCG,Lightning Cloud to Ground。雲対地の雷。
LTGIC,Lightning In-Cloud。雲中の雷。
FRQ,Frequent。1〜6回/分の頻繁な雷。
OCNL,Occasional。1回/分未満の散発的な雷。
CONS,Continuous。6回/分以上の連続的な雷。
TAF,Terminal Aerodrome Forecast。飛行場予報。有効時間は通常24〜30時間。
TAF AMD,TAF Amendment。TAFの修正版。
TAF COR,TAF Correction。TAFの訂正版。
BECMG,Becoming。1〜4時間で予報値に変化する予報。規則的・不規則的な変化を含む。
TEMPO,Temporary。一時的な変化の予報。1回1時間未満、合計が有効時間の1/2未満。
PROB30/40,Probability。発生確率30〜40%の予報。日本のTAFでは使用しない。
FM,From。指定時刻から新しい予報に完全に切り替わる。
NSW,No Significant Weather。重要な天気現象なし。BECMG/TEMPO後に使用。
CNL,Cancel。TAFの取消。
NIL,なし。TAFが発行されていない。
着氷（Icing）,航空機の機体表面に氷が付着する現象。揚力低下、重量増加、計器異常の原因。
ライム・アイシング（Rime Icing）,白色または不透明な着氷。過冷却の小粒子が接触時に瞬時に凍結し空気を閉じ込める。
クリア・アイシング（Clear Icing）,透明で滑らかなシロップ状の着氷。最も危険。大きな過冷却水滴が徐々に凍結して形成。
ミックス・アイシング（Mixed Icing）,ライムとクリアの両方の特性を持つ着氷。白くて表面が荒く不規則な形状。
着氷性の雨（FZRA）,過冷却状態の雨。地面や機体に接触すると凍結。温暖前線付近で発生しやすい。
着氷性の霧雨（FZDZ）,過冷却状態の霧雨。接触すると凍結する。
SLD（過冷却大粒水滴）,Supercooled Large Droplets。直径50μm以上の過冷却水滴。重大な着氷の原因。
